spk_id,log_f0_rmse,stft_l2_dist,vuv_error
4731,0.075,0.888,8
4733,0.118,0.88,11
4734,0.167,0.822,7
4744,0.084,0.898,10
4788,0.133,0.813,10
4800,0.144,0.967,11
4806,0.142,0.838,10
4807,0.102,0.948,9
4813,0.173,0.809,9
4830,0.097,0.816,10
4837,0.089,0.872,8
4839,0.082,0.824,7
4846,0.085,1.285,4
4848,0.101,0.837,9
4853,0.092,0.881,10
4854,0.138,0.814,11
4856,0.146,0.846,10
4859,0.095,0.892,9
4860,0.094,0.83,10
4898,0.068,0.806,9
4899,0.08,0.877,8
4926,0.083,0.972,6
4945,0.136,0.816,12
4957,0.106,0.856,10
4967,0.096,0.867,9
4970,0.102,0.864,9
4973,0.116,0.824,9
4992,0.096,0.853,7
5002,0.119,0.872,17
5007,0.085,0.819,9
5012,0.073,0.927,9
5022,0.089,0.855,8
5029,0.099,1.207,8
5039,0.082,0.932,8
5049,0.058,0.944,11
5054,0.091,0.852,8
5062,0.087,0.89,8
5063,0.123,0.921,9
5092,0.154,0.83,12
5093,0.096,0.841,8
5104,0.114,0.893,10
5105,0.122,0.822,10
5115,0.101,0.866,10
5123,0.134,0.831,10
5126,0.113,0.851,9
5133,0.084,0.913,11
5139,0.065,0.889,10
5142,0.09,0.875,7
5147,0.118,0.831,12
5154,0.089,1.175,8
5157,0.125,0.836,12
5163,0.09,0.857,7
5186,0.135,0.832,11
5189,0.12,0.824,11
5190,0.128,0.837,10
5192,0.086,0.789,10
5206,0.157,0.817,11
5239,0.123,0.815,8
5242,0.113,0.839,11
5246,0.116,0.837,11
5261,0.113,0.856,10
5266,0.065,1.027,10
5290,0.157,0.972,11
5293,0.113,0.847,12
5304,0.115,0.898,10
5319,0.105,0.821,11
5322,0.135,0.815,10
5333,0.084,0.844,10
5337,0.084,0.851,8
5338,0.071,0.868,8
5339,0.084,0.847,9
5386,0.12,0.839,11
5389,0.067,0.851,15
5390,0.128,0.869,10
5393,0.138,0.876,11
5400,0.068,0.871,8
5401,0.169,0.853,11
5448,0.082,0.816,13
5456,0.106,0.802,8
5463,0.167,0.849,10
5489,0.088,0.848,9
